[LOG] Initializing Game ...
[LOG] Initialized Allegro
[LOG] Initialized Window Display
[LOG] Initialized Event Queue and Source
[LOG] Change scene from NULL to menu
[LOG] Scene menu created, initializing ... 
[LOG] Start Game Event Loop
[LOG] Key 67 down
[LOG] Change scene from menu to loading
[LOG] Key 67 up
[LOG] Key 75 down
[LOG] Key 75 up
[LOG] Key 83 down
[LOG] Change scene from loading to game
[LOG] Using Assets/tester.txt to load the map
[LOG] Creating Enemy at ( 18, 10 )
[LOG] Key 83 up
[LOG] Key 83 down
[LOG] Key 19 down
[LOG] Key 85 down
[LOG] Key 83 up
[LOG] Key 4 down
[LOG] Key 82 down
[LOG] Key 19 up
[LOG] Key 82 up
[LOG] Key 83 down
[LOG] Key 19 down
[LOG] Key 19 up
[LOG] Key 19 down
[LOG] Key 82 down
[LOG] Key 4 up
[LOG] Key 83 up
[LOG] Key 1 down
[LOG] Key 85 up
[LOG] Key 19 up
[LOG] Key 4 down
[LOG] Key 1 up
[LOG] Key 4 up
[LOG] Key 85 down
[LOG] Key 85 up
[LOG] Key 82 up
[LOG] Key 82 down
[LOG] Key 82 up
[LOG] Key 83 down
[LOG] Key 83 up
[LOG] Key 82 down
[LOG] Key 82 up
[LOG] Key 83 down
[LOG] Key 83 up
[LOG] Key 1 down
[LOG] Key 19 down
[LOG] Key 19 up
[LOG] Key 23 down
[LOG] Key 23 up
[LOG] Key 19 down
[LOG] Key 19 up
[LOG] Key 1 up
[LOG] Key 82 down
[LOG] Key 85 down
[LOG] Key 82 up
[LOG] Key 4 down
[LOG] Key 4 up
[LOG] Key 85 up
[LOG] Key 82 down
[LOG] Key 84 down
[LOG] Key 82 up
[LOG] Key 82 down
[LOG] Key 84 up
[LOG] Key 4 down
[LOG] Key 83 down
[LOG] Key 82 up
[LOG] Key 4 up
[LOG] Key 82 down
[LOG] Key 83 up
[LOG] Key 1 down
[LOG] Key 23 down
[LOG] Key 82 up
[LOG] Key 23 up
[LOG] Key 19 down
[LOG] Key 1 up
[LOG] Key 83 down
[LOG] Key 4 down
[LOG] Key 19 up
[LOG] Key 4 up
[LOG] Key 83 up
[LOG] Key 23 down
[LOG] Key 1 down
[LOG] Key 23 up
[LOG] Key 19 down
[LOG] Key 1 up
[LOG] Key 19 up
[LOG] Key 82 down
[LOG] Key 83 down
[LOG] Key 82 up
[LOG] Key 83 up
[LOG] Key 4 down
[LOG] Key 4 up
[LOG] Key 23 down
[LOG] Key 4 down
[LOG] Key 23 up
[LOG] Key 4 up
[LOG] Key 19 down
[LOG] Key 19 up
[LOG] Key 1 down
[LOG] Key 82 down
[LOG] Key 1 up
[LOG] Key 1 down
[LOG] Key 23 down
[LOG] Key 84 down
[LOG] Key 82 up
[LOG] Key 1 up
[LOG] Key 4 down
[LOG] Key 4 up
[LOG] Key 84 up
[LOG] Key 23 up
[LOG] Key 23 down
[LOG] Key 1 down
[LOG] Key 84 down
[LOG] Key 1 up
[LOG] Key 4 down
[LOG] Key 23 up
[LOG] Key 84 up
[LOG] Key 1 down
[LOG] Key 4 up
[LOG] Key 19 down
[LOG] Key 1 up
[LOG] Key 4 down
[LOG] Key 19 up
[LOG] Key 4 up
[LOG] Key 1 down
[LOG] Key 23 down
[LOG] Key 1 up
[LOG] Key 4 down
[LOG] Key 23 up
[LOG] Key 19 down
[LOG] Key 85 down
[LOG] Key 4 up
[LOG] Key 4 down
[LOG] Key 85 up
[LOG] Key 82 down
[LOG] Key 84 down
[LOG] Key 82 up
[LOG] Key 4 up
[LOG] Key 83 down
[LOG] Key 84 up
[LOG] Key 85 down
[LOG] Key 4 down
[LOG] Key 4 up
[LOG] Key 85 up
[LOG] Key 19 up
[LOG] Key 1 down
[LOG] Key 4 down
[LOG] Key 23 down
[LOG] Key 1 up
[LOG] Key 85 down
[LOG] Key 85 up
[LOG] Key 84 down
[LOG] Key 23 up
[LOG] Key 82 down
[LOG] Key 84 up
[LOG] Key 19 down
[LOG] Key 84 down
[LOG] Key 19 up
[LOG] Key 23 down
[LOG] Key 83 up
[LOG] Key 4 up
[LOG] Key 23 up
[LOG] Key 4 down
[LOG] Key 84 up
[LOG] Key 19 down
[LOG] Key 85 down
[LOG] Key 83 down
[LOG] Key 4 up
[LOG] Key 82 up
[LOG] Key 82 down
[LOG] Key 83 up
[LOG] Key 1 down
[LOG] Key 83 down
[LOG] Key 82 up
[LOG] Key 19 up
[LOG] Key 19 down
[LOG] Key 1 up
[LOG] Key 4 down
[LOG] Key 83 up
[LOG] Key 83 down
[LOG] Key 4 up
[LOG] Key 83 up
[LOG] Key 4 down
[LOG] Key 4 up
[LOG] Key 82 down
[LOG] Key 4 down
[LOG] Key 4 up
[LOG] Key 83 down
[LOG] Key 82 up
[LOG] Key 83 up
[LOG] Key 82 down
[LOG] Key 85 up
[LOG] Key 84 down
[LOG] Key 84 up
[LOG] Change scene from game to transition
[LOG] Key 85 down
[LOG] Key 82 up
[LOG] Key 83 down
[LOG] Key 83 up
[LOG] Key 19 up
[LOG] Key 85 up
[LOG] Change scene from transition to shop
[LOG] Change scene from shop to transition
[LOG] Window close button pressed
[LOG] Terminating ...
